country_name,native_name,phone,continent,capital,currency,lang_code,lang_name,native_lang,continent_name
Andorra,Andorra,376,EU,Andorra la Vella,EUR,ca,Catalan,Català,Europe
United Arab Emirates,دولة الإمارات العربية المتحدة,971,AS,Abu Dhabi,AED,ar,Arabic,العربية,Asia
Afghanistan,افغانستان,93,AS,Kabul,AFN,ps,Pashto,پښتو,Asia
Afghanistan,افغانستان,93,AS,Kabul,AFN,uz,Uzbek,Ўзбек,Asia
Afghanistan,افغانستان,93,AS,Kabul,AFN,tk,Turkmen,Туркмен / تركمن,Asia
Antigua and Barbuda,Antigua and Barbuda,1268,NA,Saint John's,XCD,en,English,English,North America
Anguilla,Anguilla,1264,NA,The Valley,XCD,en,English,English,North America
Albania,Shqipëria,355,EU,Tirana,ALL,sq,Albanian,Shqip,Europe
Armenia,Հայաստան,374,AS,Yerevan,AMD,hy,Armenian,Հայերեն,Asia
Armenia,Հայաստան,374,AS,Yerevan,AMD,ru,Russian,Русский,Asia
Angola,Angola,244,AF,Luanda,AOA,pt,Portuguese,Português,Africa
Argentina,Argentina,54,SA,Buenos Aires,ARS,es,Spanish,Español,South America
Argentina,Argentina,54,SA,Buenos Aires,ARS,gn,Guarani,Avañe'ẽ,South America
American Samoa,American Samoa,1684,OC,Pago Pago,USD,en,English,English,Oceania
American Samoa,American Samoa,1684,OC,Pago Pago,USD,sm,Samoan,Gagana Samoa,Oceania
Austria,Österreich,43,EU,Vienna,EUR,de,German,Deutsch,Europe
Australia,Australia,61,OC,Canberra,AUD,en,English,English,Oceania
Aruba,Aruba,297,NA,Oranjestad,AWG,nl,Dutch,Nederlands,North America
Aruba,Aruba,297,NA,Oranjestad,AWG,pa,Panjabi / Punjabi,ਪੰਜਾਬੀ / पंजाबी / پنجابي,North America
Åland,Åland,358,EU,Mariehamn,EUR,sv,Swedish,Svenska,Europe
Azerbaijan,Azərbaycan,994,AS,Baku,AZN,az,Azerbaijani,Azərbaycanca / آذربايجان,Asia
Bosnia and Herzegovina,Bosna i Hercegovina,387,EU,Sarajevo,BAM,bs,Bosnian,Bosanski,Europe
Bosnia and Herzegovina,Bosna i Hercegovina,387,EU,Sarajevo,BAM,hr,Croatian,Hrvatski,Europe
Bosnia and Herzegovina,Bosna i Hercegovina,387,EU,Sarajevo,BAM,sr,Serbian,Српски,Europe
Barbados,Barbados,1246,NA,Bridgetown,BBD,en,English,English,North America
Bangladesh,Bangladesh,880,AS,Dhaka,BDT,bn,Bengali,বাংলা,Asia
Belgium,België,32,EU,Brussels,EUR,nl,Dutch,Nederlands,Europe
Belgium,België,32,EU,Brussels,EUR,fr,French,Français,Europe
Belgium,België,32,EU,Brussels,EUR,de,German,Deutsch,Europe
Burkina Faso,Burkina Faso,226,AF,Ouagadougou,XOF,fr,French,Français,Africa
Burkina Faso,Burkina Faso,226,AF,Ouagadougou,XOF,ff,Peul,Fulfulde,Africa
Bulgaria,България,359,EU,Sofia,BGN,bg,Bulgarian,Български,Europe
Bahrain,‏البحرين,973,AS,Manama,BHD,ar,Arabic,العربية,Asia
Burundi,Burundi,257,AF,Bujumbura,BIF,fr,French,Français,Africa
Burundi,Burundi,257,AF,Bujumbura,BIF,rn,Kirundi,Kirundi,Africa
Benin,Bénin,229,AF,Porto-Novo,XOF,fr,French,Français,Africa
Saint Barthélemy,Saint-Barthélemy,590,NA,Gustavia,EUR,fr,French,Français,North America
Bermuda,Bermuda,1441,NA,Hamilton,BMD,en,English,English,North America
Brunei,Negara Brunei Darussalam,673,AS,Bandar Seri Begawan,BND,ms,Malay,Bahasa Melayu,Asia
Bolivia,Bolivia,591,SA,Sucre,"BOB,BOV",es,Spanish,Español,South America
Bolivia,Bolivia,591,SA,Sucre,"BOB,BOV",ay,Aymara,Aymar,South America
Bolivia,Bolivia,591,SA,Sucre,"BOB,BOV",qu,Quechua,Runa Simi,South America
Bonaire,Bonaire,5997,NA,Kralendijk,USD,nl,Dutch,Nederlands,North America
Brazil,Brasil,55,SA,Brasília,BRL,pt,Portuguese,Português,South America
Bahamas,Bahamas,1242,NA,Nassau,BSD,en,English,English,North America
Bhutan,ʼbrug-yul,975,AS,Thimphu,"BTN,INR",dz,Dzongkha,ཇོང་ཁ,Asia
Bouvet Island,Bouvetøya,47,AN,"",NOK,no,Norwegian,Norsk (bokmål / riksmål),Antarctica
Bouvet Island,Bouvetøya,47,AN,"",NOK,nn,Norwegian Nynorsk,Norsk (nynorsk),Antarctica
Botswana,Botswana,267,AF,Gaborone,BWP,en,English,English,Africa
Botswana,Botswana,267,AF,Gaborone,BWP,tn,Tswana,Setswana,Africa
Belarus,Белару́сь,375,EU,Minsk,BYR,be,Belarusian,Беларуская,Europe
Belarus,Белару́сь,375,EU,Minsk,BYR,ru,Russian,Русский,Europe
Belize,Belize,501,NA,Belmopan,BZD,en,English,English,North America
Belize,Belize,501,NA,Belmopan,BZD,es,Spanish,Español,North America
Canada,Canada,1,NA,Ottawa,CAD,en,English,English,North America
Canada,Canada,1,NA,Ottawa,CAD,fr,French,Français,North America
Cocos [Keeling] Islands,Cocos (Keeling) Islands,61,AS,West Island,AUD,en,English,English,Asia
Democratic Republic of the Congo,République démocratique du Congo,243,AF,Kinshasa,CDF,fr,French,Français,Africa
Democratic Republic of the Congo,République démocratique du Congo,243,AF,Kinshasa,CDF,ln,Lingala,Lingála,Africa
Democratic Republic of the Congo,République démocratique du Congo,243,AF,Kinshasa,CDF,kg,Kongo,KiKongo,Africa
Democratic Republic of the Congo,République démocratique du Congo,243,AF,Kinshasa,CDF,sw,Swahili,Kiswahili,Africa
Central African Republic,Ködörösêse tî Bêafrîka,236,AF,Bangui,XAF,fr,French,Français,Africa
Central African Republic,Ködörösêse tî Bêafrîka,236,AF,Bangui,XAF,sg,Sango,Sängö,Africa
Republic of the Congo,République du Congo,242,AF,Brazzaville,XAF,fr,French,Français,Africa
Republic of the Congo,République du Congo,242,AF,Brazzaville,XAF,ln,Lingala,Lingála,Africa
Switzerland,Schweiz,41,EU,Bern,"CHE,CHF,CHW",de,German,Deutsch,Europe
Switzerland,Schweiz,41,EU,Bern,"CHE,CHF,CHW",fr,French,Français,Europe
Switzerland,Schweiz,41,EU,Bern,"CHE,CHF,CHW",it,Italian,Italiano,Europe
Ivory Coast,Côte d'Ivoire,225,AF,Yamoussoukro,XOF,fr,French,Français,Africa
Cook Islands,Cook Islands,682,OC,Avarua,NZD,en,English,English,Oceania
Chile,Chile,56,SA,Santiago,"CLF,CLP",es,Spanish,Español,South America
Cameroon,Cameroon,237,AF,Yaoundé,XAF,en,English,English,Africa
Cameroon,Cameroon,237,AF,Yaoundé,XAF,fr,French,Français,Africa
China,中国,86,AS,Beijing,CNY,zh,Chinese,中文,Asia
Colombia,Colombia,57,SA,Bogotá,COP,es,Spanish,Español,South America
Costa Rica,Costa Rica,506,NA,San José,CRC,es,Spanish,Español,North America
Cuba,Cuba,53,NA,Havana,"CUC,CUP",es,Spanish,Español,North America
Cape Verde,Cabo Verde,238,AF,Praia,CVE,pt,Portuguese,Português,Africa
